,Rate,Ending_Date,Number_of_Wks,Spt/Week,Total_Spots,Total_Dollars,Length_in_Sec,AM,PM,10:00,10:30,11:00,11_AM,11_PM,11:30,11:35,12:00,12:05,12:30,12:35,1:00,1:05,1:30,1:35,2:00,3:00,3:30,4:00,4:30,4:59,5:00,5:30,6:00,6:30,7:00,7:30,7:58,8:00,8:30,9:00,9:30,Dark_Money,Liberal,Local,Renewable_Energy,Pro_Collective_Bargaining,Casino_Expansion,Anti_2nd_Detroit_Bridge,Homecare_in_State_Constitution,Romney_for_President,Govt_Emergency_Fund,McCormack_for_Supreme_Ct_D,Universal_Healthcare,Stabenow_for_Senate_D_I,In_Place,Percentage_of_Vote
0,4000.0,30.0,1.0,1.0,1.0,4000.0,30.0,0,1,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,300,0.0,0.0,0,0,0,0,0,0,0,-300,0,0,0,23.5
1,1600.0,30.0,1.0,1.0,1.0,1600.0,30.0,1,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,300,0.0,0.0,0,0,0,0,0,0,0,-300,0,0,0,23.5
2,7000.0,30.0,1.0,1.0,1.0,7000.0,30.0,0,1,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,300,0.0,0.0,0,0,0,0,0,0,0,-300,0,0,0,23.5
3,4000.0,30.0,1.0,1.0,1.0,4000.0,30.0,0,1,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,300,0.0,0.0,0,0,0,0,0,0,0,-300,0,0,0,23.5
4,1600.0,30.0,1.0,1.0,1.0,1600.0,30.0,1,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,300,0.0,0.0,0,0,0,0,0,0,0,-300,0,0,0,23.5
5,7000.0,30.0,1.0,1.0,1.0,7000.0,30.0,0,1,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,300,0.0,0.0,0,0,0,0,0,0,0,-300,0,0,0,23.5
6,10000.0,30.0,1.0,1.0,1.0,10000.0,30.0,0,1,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,300,0.0,0.0,0,0,0,0,0,0,0,-300,0,0,0,23.5
7,4000.0,30.0,1.0,1.0,1.0,4000.0,30.0,0,1,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,300,0.0,0.0,0,0,0,0,0,0,0,-300,0,0,0,23.5
8,4000.0,30.0,1.0,1.0,1.0,4000.0,30.0,0,1,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,300,0.0,0.0,0,0,0,0,0,0,0,-300,0,0,0,23.5
9,5000.0,30.0,1.0,1.0,1.0,5000.0,30.0,1,0,0,1,0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,300,0.0,0.0,0,0,0,0,0,0,0,-300,0,0,0,23.5
10,4000.0,30.0,1.0,1.0,1.0,4000.0,30.0,0,1,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,300,0.0,0.0,0,0,0,0,0,0,0,-300,0,0,0,23.5
11,1600.0,30.0,1.0,1.0,1.0,1600.0,30.0,1,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,300,0.0,0.0,0,0,0,0,0,0,0,-300,0,0,0,23.5
12,7000.0,30.0,1.0,1.0,1.0,7000.0,30.0,0,1,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,300,0.0,0.0,0,0,0,0,0,0,0,-300,0,0,0,23.5
13,1600.0,30.0,1.0,1.0,1.0,1600.0,30.0,1,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,300,0.0,0.0,0,0,0,0,0,0,0,-300,0,0,0,23.5
0,10000.0,30.0,1.0,1.0,1.0,10000.0,30.0,0,1,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,300,0.0,0.0,0,0,0,0,0,0,0,0,-300,0,0,51.1
1,10000.0,30.0,1.0,1.0,1.0,10000.0,30.0,0,1,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,300,0.0,0.0,0,0,0,0,0,0,0,0,-300,0,0,51.1
2,10000.0,30.0,1.0,1.0,1.0,10000.0,30.0,0,1,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,300,0.0,0.0,0,0,0,0,0,0,0,0,-300,0,0,51.1
3,10000.0,30.0,1.0,1.0,1.0,10000.0,30.0,0,1,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,300,0.0,0.0,0,0,0,0,0,0,0,0,-300,0,0,51.1
0,600.0,30.0,1.0,2.0,2.0,1200.0,30.0,0,1,0,0,0,0.0,0.0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,300.0,0,0,0,0,0,0,300,0,0,0,0,47.0
1,600.0,30.0,1.0,1.0,1.0,600.0,30.0,0,1,0,0,0,0.0,0.0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,300.0,0,0,0,0,0,0,300,0,0,0,0,47.0
2,1850.0,30.0,1.0,3.0,3.0,5550.0,30.0,0,1,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0.0,300.0,0,0,0,0,0,0,300,0,0,0,0,47.0
